RELATÓRIO DE ELEIÇÃO - VEREADOR
--------------------------------------------------
Votos Nulos/Brancos (VEREADOR): 0 (0,00% do total de votantes)
--------------------------------------------------
Nome - Número; Votos
[VEREADOR] Helena do Minibox - 50100; 2 votos
[VEREADOR] Daniel da Praça é Nossa - 20000; 1 votos
[VEREADOR] Professora Fabiana - 45123; 1 votos
[VEREADOR] Gabriel da UBS - 45999; 1 votos
[VEREADOR] General Osvaldo - 30222; 1 votos
[VEREADOR] Bruno do Galeto - 10123; 0 votos
[VEREADOR] Carla do Botijão - 10555; 0 votos
[VEREADOR] Eduardo Empreiteiro - 20111; 0 votos
[VEREADOR] Flavinho do Pneu - 50200; 0 votos
[VEREADOR] Juliana da Betoneira - 30111; 0 votos
